AUC,durations,rates,IEI,startTimes,amps,jitter,cond,age,id,id2,T
574.373266,15.625,0.979166667,498,214.712766,58.23390748,1.187129404,1,8,15,1,7837
190.2722264,5.791666667,0.833333333,96,722.975,28.09570623,1.03872549,1,8,15,1,7837
153.8942154,6.614583333,0.708333333,26,825.8529412,32.67634034,0.934742647,1,8,15,1,7837
182.148728,7.125,0.9375,NaN,856.7666667,33.98039222,0.9,1,8,15,1,7837
210.4323467,7.625,0.958333333,163,110.9130435,34.27093014,0.873517787,1,8,15,2,7837
21.08529377,3.166666667,0.020833333,60,277,20.73998356,0,1,8,15,2,7837
20.43698472,3.166666667,0.020833333,82,337,29.83259519,0.333333333,1,8,15,2,7837
18.53164966,3.322916667,0.020833333,138,419,21.5317955,0,1,8,15,2,7837
24.71127004,3.510416667,0.083333333,7,557.75,26.36189673,0.583333333,1,8,15,2,7837
64.77625879,3.78125,0.1875,110,568.3888889,28.45857704,1.104166667,1,8,15,2,7837
259.3835835,8.458333333,0.958333333,13,683.6195652,38.25137149,1.057128413,1,8,15,2,7837
55.69149862,3.8125,0.197916667,393,703.8947368,26.23416502,1.145510836,1,8,15,2,7837
17.23390236,3.21875,0.020833333,131,1100,21.70558993,0.666666667,1,8,15,2,7837
17.15907923,3.21875,0.020833333,336,1231,22.14197159,0.333333333,1,8,15,2,7837
112.9851608,4.885416667,0.635416667,39,1570.032787,27.11153592,1.212518629,1,8,15,2,7837
14.25979941,3.208333333,0.020833333,274,1617,23.95015526,0.5,1,8,15,2,7837
150.8346718,6.46875,0.833333333,35,1892.7875,35.46454506,0.805,1,8,15,2,7837
539.8676907,14.375,0.979166667,339,1933.574468,59.32414946,1.407368967,1,8,15,2,7837
20.89492178,3.395833333,0.020833333,NaN,2276,25.1925691,0.333333333,1,8,15,2,7837
87.56773113,3.614583333,0.3125,21,102.6,25.73637438,1.5625,1,8,15,3,7837
7.888843371,3.114583333,0.020833333,326,127,22.88419533,0,1,8,15,3,7837
7.220526095,3.114583333,0.041666667,107,454,21.13238182,0.8,1,8,15,3,7837
-3.821986808,3.0625,0.020833333,578,562,22.87356472,0,1,8,15,3,7837
109.1329326,4.4375,0.614583333,474,1146.525424,26.57266006,1.238983051,1,8,15,3,7837
103.9282986,5.177083333,0.65625,NaN,1627.380952,28.87030656,0.764928194,1,8,15,3,7837
35.32054641,3.354166667,0.020833333,745,553,22.20894074,0.75,1,8,15,4,7837
243.9830691,8.333333333,0.979166667,971,1299.414894,38.1486267,0.726492793,1,8,15,4,7837
